0,1,2,3,
Capital Growth Fund - Class C , Capital growth fund - Class A,,,
Capital Growth Fund - Class C, California tax free income fund - Class S , Capital growth fund - Class A,,
California tax free income fund - Class S,Capital growth fund - Class A , Capital Growth Fund - Class C,,
Califronia Tax Free Income Fund - Class C , California tax free income fund - Class S,,,
Califronia Tax Free Income Fund - Class C,Capital Growth Fund - Class C , California tax free income fund - Class S,,
Califronia Tax Free Income Fund - Class C,Capital Growth Fund - Class C , Capital growth fund - Class A,,
Califronia Tax Free Income Fund - Class C,Capital growth fund - Class A , Capital Growth Fund - Class C,,
Califronia Tax Free Income Fund - Class C,Capital growth fund - Class A , California tax free income fund - Class S,,
Califronia Tax Free Income Fund - Class C,Capital Growth Fund - Class C,California tax free income fund - Class S , Capital growth fund - Class A,
Califronia Tax Free Income Fund - Class C,Capital Growth Fund - Class C,Capital growth fund - Class A , California tax free income fund - Class S,
Califronia Tax Free Income Fund - Class C,California tax free income fund - Class S,Capital growth fund - Class A , Capital Growth Fund - Class C,
Califronia Tax Free Income Fund - Class C,core equity fund - Class S , California tax free income fund - Class S,,
Capital Growth Fund - Class C,core equity fund - Class S , California tax free income fund - Class S,,
Capital Growth Fund - Class C,core equity fund - Class S , Capital growth fund - Class A,,
Capital Growth Fund - Class C,California tax free income fund - Class S,core equity fund - Class S , Capital growth fund - Class A,
Capital Growth Fund - Class C,Capital growth fund - Class A,core equity fund - Class S , California tax free income fund - Class S,
California tax free income fund - Class S,Capital growth fund - Class A,core equity fund - Class S , Capital Growth Fund - Class C,
Capital Growth Fund - Class C,core equity fund - Class A , Capital growth fund - Class A,,
croci us fund - Class A , Capital growth fund - Class A,,,
Califronia Tax Free Income Fund - Class C,croci equity dividend fund - Class A , California tax free income fund - Class S,,
Capital Growth Fund - Class C,croci equity dividend fund - Class A , Capital growth fund - Class A,,
Califronia Tax Free Income Fund - Class C,Capital Growth Fund - Class C,core equity fund - Class S , California tax free income fund - Class S,
Califronia Tax Free Income Fund - Class C,Capital Growth Fund - Class C,core equity fund - Class S , Capital growth fund - Class A,
Califronia Tax Free Income Fund - Class C,Capital growth fund - Class A,core equity fund - Class S , Capital Growth Fund - Class C,
Califronia Tax Free Income Fund - Class C,Capital growth fund - Class A,core equity fund - Class S , California tax free income fund - Class S,
Capital Growth Fund - Class C,California tax free income fund - Class S,core equity fund - Class A , Capital growth fund - Class A,
California tax free income fund - Class S,Capital growth fund - Class A,core equity fund - Class A , Capital Growth Fund - Class C,
Califronia Tax Free Income Fund - Class C,Capital Growth Fund - Class C,California tax free income fund - Class S,core equity fund - Class S , Capital growth fund - Class A
Califronia Tax Free Income Fund - Class C,Capital Growth Fund - Class C,Capital growth fund - Class A,core equity fund - Class S , California tax free income fund - Class S
Califronia Tax Free Income Fund - Class C,California tax free income fund - Class S,Capital growth fund - Class A,core equity fund - Class S , Capital Growth Fund - Class C
Core Equity Fund - Class R , croci equity dividend fund - Class A,,,
Core Equity Fund - Class R , core equity fund - Class S,,,
croci equity dividend fund - Class A,Core Equity Fund - Class R , core equity fund - Class S,,
Core Equity Fund - Class R,core equity fund - Class S , croci equity dividend fund - Class A,,
Capital Growth Fund - Class C,Small Cap Growth Fund - Class A , Capital growth fund - Class A,,
Califronia Tax Free Income Fund - Class C,core equity fund - Class A , California tax free income fund - Class S,,
Califronia Tax Free Income Fund - Class C,croci equity dividend fund - Class A,core equity fund - Class S , California tax free income fund - Class S,
Capital Growth Fund - Class C,croci equity dividend fund - Class A,California tax free income fund - Class S , Capital growth fund - Class A,
croci equity dividend fund - Class A,California tax free income fund - Class S,Capital growth fund - Class A , Capital Growth Fund - Class C,
